日期,门店名称,门店id,省份,门店所在城市,区县市,营业收入,优惠前总额,顾客实付,有效订单,实付单均价,活动补贴,顾客实付（不含券）,实付单均价（不含券）,曝光人数,入店人数,入店转化率,下单转化率,曝光新客,入店新客,新客入店转化率,新客下单转化率,曝光老客,入店老客,老客入店转化率,老客下单转化率,曝光次数,入店次数,下单人数,下单新客,下单老客,数据类型
2026-04-20,样例门店A,9001001,北京市,北京,朝阳区,939.62,1589.61,1188.00,33.0,36.00,474.21,1116.72,33.84,1070,150,14.05%,21.96%,492,65,13.13%,19.40%,578,86,14.83%,23.88%,1808,189,33,13,20,sample
2026-04-20,样例门店B,9001002,北京市,北京,海淀区,1353.12,2176.47,1627.70,41.0,39.70,638.97,1530.04,37.32,1433,221,15.42%,18.55%,659,95,14.42%,16.39%,774,126,16.28%,20.18%,2570,271,41,16,25,sample
2026-04-20,样例门店C,9001003,北京市,北京,西城区,1639.14,2737.84,1953.00,45.0,43.40,883.84,1835.82,40.80,1700,280,16.45%,16.09%,782,120,15.38%,14.22%,918,159,17.37%,17.50%,2960,353,45,17,28,sample
2026-04-20,样例门店D,9001004,北京市,北京,丰台区,2431.84,3890.30,2826.00,60.0,47.10,1196.30,2656.44,44.27,2420,389,16.07%,15.43%,1113,167,15.02%,13.63%,1307,222,16.96%,16.78%,3931,500,60,23,37,sample
2026-04-21,样例门店A,9001001,北京市,北京,朝阳区,1170.19,2022.59,1428.64,38.0,37.60,677.55,1342.92,35.34,1223,167,13.66%,22.75%,563,72,12.77%,21.43%,660,95,14.42%,23.75%,2169,223,38,15,23,sample
2026-04-21,样例门店B,9001002,北京市,北京,海淀区,1565.18,2610.25,1860.31,45.0,41.34,848.94,1748.69,38.86,1568,240,15.33%,18.72%,721,103,14.33%,17.63%,847,137,16.19%,19.54%,2778,296,45,18,27,sample
2026-04-21,样例门店C,9001003,北京市,北京,西城区,1818.97,3008.14,2164.06,48.0,45.08,949.68,2034.22,42.38,1811,300,16.55%,16.01%,833,129,15.47%,15.08%,978,171,17.47%,16.72%,3057,381,48,19,29,sample
2026-04-21,样例门店D,9001004,北京市,北京,丰台区,2620.95,4130.02,3027.40,62.0,48.83,1239.02,2845.75,45.90,2501,452,18.07%,13.72%,1150,194,16.89%,12.92%,1351,258,19.07%,14.32%,3968,567,62,25,37,sample
2026-04-22,样例门店A,9001001,北京市,北京,朝阳区,1236.07,2052.19,1529.55,39.0,39.22,608.44,1437.78,36.87,1256,184,14.62%,21.24%,578,79,13.67%,21.24%,678,105,15.43%,21.24%,2206,228,39,17,22,sample
2026-04-22,样例门店B,9001002,北京市,北京,海淀区,1711.58,2962.20,2107.39,49.0,43.01,962.61,1980.95,40.43,1703,280,16.41%,17.53%,783,120,15.34%,17.53%,920,159,17.33%,17.53%,2675,353,49,21,28,sample
2026-04-22,样例门店C,9001003,北京市,北京,西城区,2032.08,3233.92,2386.64,51.0,46.80,959.48,2243.44,43.99,1922,314,16.33%,16.25%,884,135,15.26%,16.25%,1038,179,17.24%,16.25%,3424,402,51,22,29,sample
2026-04-22,样例门店D,9001004,北京市,北京,丰台区,2397.80,3763.69,2832.79,56.0,50.59,1054.10,2662.83,47.55,2270,397,17.48%,14.12%,1044,171,16.34%,14.12%,1226,226,18.45%,14.12%,3717,512,56,24,32,sample
