日期,门店名称,门店id,省份,门店所在城市,区县市,营业收入,优惠前总额,顾客实付,有效订单,实付单均价,活动补贴,顾客实付（不含券）,实付单均价（不含券）,曝光人数,入店人数,入店转化率,下单转化率,曝光新客,入店新客,新客入店转化率,新客下单转化率,曝光老客,入店老客,老客入店转化率,老客下单转化率,曝光次数,入店次数,下单人数,下单新客,下单老客,数据类型
2026-04-20,样例门店A,9001001,北京市,北京,朝阳区,603.05,1026.44,750.20,22.0,34.10,316.28,705.19,32.05,698,94,13.53%,23.28%,321,41,12.65%,20.58%,377,54,14.28%,25.33%,1103,118,22,8,14,sample
2026-04-20,样例门店B,9001002,北京市,北京,海淀区,851.98,1321.23,1020.60,27.0,37.80,349.77,959.36,35.53,920,145,15.78%,18.60%,423,62,14.75%,16.44%,497,83,16.66%,20.23%,1619,190,27,10,17,sample
2026-04-20,样例门店C,9001003,北京市,北京,西城区,979.39,1532.58,1162.00,28.0,41.50,421.54,1092.28,39.01,1035,178,17.23%,15.70%,476,77,16.11%,13.88%,559,102,18.19%,17.08%,1606,225,28,11,17,sample
2026-04-20,样例门店D,9001004,北京市,北京,丰台区,1345.41,2120.21,1582.00,35.0,45.20,601.91,1487.08,42.49,1378,229,16.61%,15.29%,634,98,15.52%,13.51%,744,130,17.53%,16.63%,2466,292,35,13,22,sample
2026-04-21,样例门店A,9001001,北京市,北京,朝阳区,601.05,975.87,749.13,21.0,35.67,264.96,704.19,33.53,673,97,14.38%,21.69%,310,42,13.44%,20.43%,363,55,15.18%,22.65%,1136,118,21,9,12,sample
2026-04-21,样例门店B,9001002,北京市,北京,海淀区,882.66,1436.86,1064.27,27.0,39.42,421.73,1000.41,37.05,923,154,16.71%,17.51%,424,66,15.62%,16.50%,498,88,17.64%,18.28%,1621,199,27,11,16,sample
2026-04-21,样例门店C,9001003,北京市,北京,西城区,1132.46,1783.42,1338.02,31.0,43.16,501.83,1257.73,40.57,1140,190,16.69%,16.29%,524,82,15.60%,15.34%,616,108,17.62%,17.01%,1909,242,31,13,18,sample
2026-04-21,样例门店D,9001004,北京市,北京,丰台区,1365.53,2170.72,1594.81,34.0,46.91,637.79,1499.12,44.09,1344,217,16.11%,15.70%,618,93,15.06%,14.78%,726,123,17.01%,16.39%,2285,276,34,14,20,sample
2026-04-22,样例门店A,9001001,北京市,北京,朝阳区,746.51,1287.19,931.84,25.0,37.27,400.85,875.93,35.04,788,107,13.58%,23.34%,363,46,12.70%,23.34%,426,61,14.34%,23.34%,1242,133,25,11,14,sample
2026-04-22,样例门店B,9001002,北京市,北京,海淀区,965.76,1508.50,1149.75,28.0,41.06,409.71,1080.76,38.60,957,156,16.26%,18.00%,440,67,15.20%,18.00%,517,89,17.16%,18.00%,1620,198,28,12,16,sample
2026-04-22,样例门店C,9001003,北京市,北京,西城区,1157.70,1793.22,1390.39,31.0,44.85,459.25,1306.96,42.16,1143,181,15.85%,17.11%,526,78,14.81%,17.11%,617,103,16.73%,17.11%,1927,231,31,13,18,sample
2026-04-22,样例门店D,9001004,北京市,北京,丰台区,1492.00,2263.28,1702.40,35.0,48.64,624.58,1600.26,45.72,1384,235,16.98%,14.89%,637,101,15.87%,14.89%,748,134,17.92%,14.89%,2338,313,35,15,20,sample
